CampaignID,CampaignName,Platform,AdType,StartDate,EndDate,Status,Impressions,Reach,Clicks,Likes,Comments,Shares,VideoViews,LinkClicks,CTR (%),EngagementRate (%),AdSpend ($),Revenue ($),Conversions,ConversionRate (%),CPC ($),CPM ($),ROAS,ROI (%),AudienceAge,AudienceGender,Objective,CostPerConversion ($)
CMP-0014,FB-0014,Facebook,Carousel,2024-08-12,2024-09-20,Completed,646390,576532,63227,107435,19722.0,13830.0,91223,28565,9.78,21.81,12268.73,60712.59,8405,13.29,0.19,18.98,4.95,394.86,25-34,F,Traffic,1.46
CMP-0015,IG-0015,Instagram,Video,2024-05-15,2024-06-21,Completed,58266,25995,3129,3974,201.0,649.0,31812,1661,5.37,8.28,25049.78,66092.21,355,11.35,8.01,429.92,2.64,163.84,18-24,M,Engagement,70.56
CMP-0016,FB-0016,Facebook,Image,2024-10-25,2024-12-04,Active,48860,27074,5295,11402,2532.0,2096.0,2311,2778,10.84,32.81,35215.17,173282.35,129,2.44,6.65,720.74,4.92,392.07,45+,All,Conversions,272.99
CMP-0017,FB-0017,Facebook,Video,2024-03-31,2024-05-01,Completed,353321,279545,18495,35858,7064.0,2858.0,74705,13883,5.23,12.96,2223.25,6343.93,1175,6.35,0.12,6.29,2.85,185.34,25-34,F,Sales,1.89
CMP-0018,FB-0018,Facebook,Video,2024-04-08,2024-05-08,Completed,77792,68724,2886,5456,708.0,1074.0,36978,2509,3.71,9.3,43682.83,60843.15,75,2.6,15.14,561.53,1.39,39.28,35-44,M,Awareness,582.44
CMP-0019,TW-0019,Twitter,Carousel,2024-09-18,2024-09-30,Completed,609596,301774,6159,9492,1461.0,1604.0,66623,5359,1.01,2.06,9268.06,24620.48,697,11.32,1.5,15.2,2.66,165.65,35-44,All,Traffic,13.3
CMP-0020,TW-0020,Twitter,Carousel,2024-12-07,2025-01-07,Paused,736076,403242,14455,21895,5212.0,3248.0,101110,10230,1.96,4.12,24883.21,12492.11,753,5.21,1.72,33.81,0.5,-49.8,35-44,M,Traffic,33.05
CMP-0021,TW-0021,Twitter,Carousel,2024-08-14,2024-09-01,Completed,182934,133436,6884,13276,2308.0,729.0,26298,3562,3.76,8.92,36392.05,45008.59,368,5.35,5.29,198.94,1.24,23.68,18-24,M,Traffic,98.89
CMP-0022,FB-0022,Facebook,Story,2024-11-18,2024-12-05,Completed,407630,263813,13475,25808,1319.0,4133.0,260488,6108,3.31,7.67,8326.96,44048.2,936,6.95,0.62,20.43,5.29,428.98,45+,M,Traffic,8.9
CMP-0023,FB-0023,Facebook,Story,2024-08-25,2024-10-02,Completed,629377,351600,57810,89742,19115.0,16397.0,250944,49336,9.19,19.9,7582.53,36452.82,4187,7.24,0.13,12.05,4.81,380.75,45+,F,Awareness,1.81
CMP-0024,IG-0024,Instagram,Story,2024-05-20,2024-06-22,Paused,250884,134438,10478,18003,1398.0,1386.0,146959,7892,4.18,8.29,18638.17,59885.48,198,1.89,1.78,74.29,3.21,221.31,45+,M,Engagement,94.13
CMP-0025,TW-0025,Twitter,Image,2024-10-21,2024-11-19,Completed,373845,205355,18635,43154,9370.0,5442.0,43180,14906,4.98,15.51,22226.21,41444.69,2528,13.57,1.19,59.45,1.86,86.47,45+,M,Conversions,8.79
CMP-0026,IG-0026,Instagram,Video,2024-03-06,2024-04-14,Paused,625644,426811,5078,9611,741.0,1094.0,84586,2993,0.81,1.83,15044.64,64784.45,201,3.96,2.96,24.05,4.31,330.61,45+,F,Conversions,74.85
CMP-0027,IG-0027,Instagram,Image,2024-10-03,2024-10-11,Completed,371960,190484,4794,11636,675.0,523.0,19396,3929,1.29,3.45,11115.25,31876.37,464,9.68,2.32,29.88,2.87,186.78,18-24,All,Traffic,23.96
CMP-0028,IG-0028,Instagram,Carousel,2024-11-06,2024-11-18,Completed,176720,155930,3080,2598,291.0,385.0,25547,1842,1.74,1.85,3881.84,15345.19,339,11.01,1.26,21.97,3.95,295.31,25-34,M,Awareness,11.45
CMP-0029,TW-0029,Twitter,Image,2024-10-16,2024-10-23,Completed,454186,331901,5872,11161,586.0,1196.0,38027,3621,1.29,2.85,40175.09,112437.89,356,6.06,6.84,88.46,2.8,179.87,25-34,F,Engagement,112.85
CMP-0030,TW-0030,Twitter,Carousel,2024-10-02,2024-11-06,Completed,626254,334543,64470,142623,9603.0,25823.0,32378,40767,10.29,28.43,17365.02,11174.39,6153,9.54,0.27,27.73,0.64,-35.65,35-44,M,Engagement,2.82
CMP-0031,IG-0031,Instagram,Carousel,2024-11-01,2024-11-23,Completed,546722,477852,8116,16427,2426.0,2649.0,60018,5867,1.48,3.93,35785.51,34542.56,638,7.86,4.41,65.45,0.97,-3.47,25-34,F,Traffic,56.09
CMP-0032,TW-0032,Twitter,Carousel,2024-09-28,2024-10-25,Completed,582124,329130,49962,62979,6315.0,3734.0,26216,22971,8.58,12.55,34417.44,49070.64,4247,8.5,0.69,59.12,1.43,42.57,25-34,All,Traffic,8.1
CMP-0033,TW-0033,Twitter,Carousel,2024-04-09,2024-05-02,Completed,193158,106455,16693,16946,1001.0,825.0,11198,14557,8.64,9.72,33999.25,34439.14,1657,9.93,2.04,176.02,1.01,1.29,18-24,All,Sales,20.52
CMP-0034,IG-0034,Instagram,Video,2024-05-09,2024-06-13,Active,425172,274607,30339,59675,4794.0,10131.0,324996,13427,7.14,17.55,25334.25,65384.41,1357,4.47,0.84,59.59,2.58,158.09,25-34,All,Sales,18.67
CMP-0035,IG-0035,Instagram,Story,2024-11-13,2024-11-21,Completed,109053,95289,3151,3651,664.0,237.0,24173,1378,2.89,4.17,20547.41,71280.12,32,1.02,6.52,188.42,3.47,246.91,35-44,M,Traffic,642.11
CMP-0036,TW-0036,Twitter,Story,2024-04-29,2024-05-20,Completed,660420,458922,64357,73128,5335.0,5555.0,134918,34290,9.74,12.72,3153.89,14076.26,1925,2.99,0.05,4.78,4.46,346.31,35-44,F,Awareness,1.64
CMP-0037,TW-0037,Twitter,Story,2024-09-13,2024-10-22,Completed,89349,62456,9585,19636,3352.0,866.0,23252,7065,10.73,26.7,26626.97,16075.43,1250,13.04,2.78,298.01,0.6,-39.63,35-44,All,Sales,21.3
CMP-0038,IG-0038,Instagram,Story,2024-04-02,2024-05-04,Completed,520611,460494,30742,45934,5246.0,2606.0,110670,18624,5.9,10.33,29984.97,75030.23,2439,7.93,0.98,57.6,2.5,150.23,18-24,F,Sales,12.29
CMP-0039,FB-0039,Facebook,Story,2024-01-01,2024-02-09,Completed,61837,30534,2881,6009,1052.0,971.0,14994,1943,4.66,12.99,19996.17,79809.72,402,13.95,6.94,323.37,3.99,299.13,18-24,M,Sales,49.74
CMP-0040,FB-0040,Facebook,Video,2024-01-08,2024-02-17,Completed,240615,215621,26464,41931,3081.0,7260.0,108003,20067,11.0,21.72,12667.41,59202.66,2149,8.12,0.48,52.65,4.67,367.36,45+,M,Traffic,5.89
CMP-0041,FB-0041,Facebook,Video,2024-05-21,2024-06-21,Completed,537401,286749,2845,5787,1258.0,768.0,301997,2368,0.53,1.45,22053.19,47683.4,206,7.24,7.75,41.04,2.16,116.22,45+,F,Sales,107.05
CMP-0042,TW-0042,Twitter,Video,2024-04-29,2024-05-30,Completed,500951,377022,49249,71722,13106.0,12287.0,394034,31896,9.83,19.39,22851.96,78859.88,747,1.52,0.46,45.62,3.45,245.09,18-24,F,Traffic,30.59
CMP-0043,FB-0043,Facebook,Video,2024-12-01,2024-12-15,Paused,360007,256191,18256,17097,1978.0,2528.0,170476,16011,5.07,6.0,39991.02,117563.1,1784,9.77,2.19,111.08,2.94,193.97,18-24,All,Traffic,22.42
CMP-0044,IG-0044,Instagram,Video,2024-08-10,2024-08-21,Completed,743083,621432,41629,82417,19012.0,3903.0,488428,22757,5.6,14.17,6977.86,22020.95,2600,6.25,0.17,9.39,3.16,215.58,25-34,M,Engagement,2.68
CMP-0045,IG-0045,Instagram,Video,2024-10-25,2024-11-08,Completed,673891,355132,23156,18894,3985.0,3480.0,387034,11091,3.44,3.91,15877.67,54585.18,1663,7.18,0.69,23.56,3.44,243.79,45+,All,Traffic,9.55
CMP-0046,FB-0046,Facebook,Story,2024-02-24,2024-03-15,Completed,381395,262173,45446,59165,14530.0,8597.0,111419,31038,11.92,21.58,33637.76,25067.57,4817,10.6,0.74,88.2,0.75,-25.48,45+,F,Sales,6.98
CMP-0047,IG-0047,Instagram,Video,2024-11-13,2024-12-04,Completed,696201,515486,14431,13928,2444.0,644.0,453942,6013,2.07,2.44,6347.83,32044.73,881,6.1,0.44,9.12,5.05,404.81,35-44,All,Engagement,7.21
CMP-0048,TW-0048,Twitter,Carousel,2024-05-19,2024-06-03,Completed,510254,450907,19869,45294,9550.0,5205.0,15199,15439,3.89,11.77,30596.41,118470.25,826,4.16,1.54,59.96,3.87,287.2,45+,All,Traffic,37.04
CMP-0049,FB-0049,Facebook,Carousel,2024-08-20,2024-09-17,Completed,710000,377067,34660,65352,8122.0,9670.0,57717,24600,4.88,11.71,15096.28,53598.0,4923,14.2,0.44,21.26,3.55,255.04,18-24,All,Engagement,3.07
CMP-0050,IG-0050,Instagram,Story,2024-01-24,2024-01-31,Completed,521554,238903,16690,28603,3653.0,2842.0,398762,12488,3.2,6.73,26636.65,110089.16,1429,8.56,1.6,51.07,4.13,313.3,45+,All,Awareness,18.64
CMP-0051,IG-0051,Instagram,Carousel,2024-07-08,2024-07-26,Completed,252582,209068,4148,8153,1295.0,1601.0,16828,2484,1.64,4.37,5936.11,28138.15,151,3.64,1.43,23.5,4.74,374.02,45+,M,Awareness,39.31
CMP-0052,TW-0052,Twitter,Image,2024-06-19,2024-07-09,Completed,597002,300054,59956,104452,17472.0,17766.0,30023,47196,10.04,23.4,27021.18,50972.06,7219,12.04,0.45,45.26,1.89,88.64,25-34,M,Awareness,3.74
CMP-0053,FB-0053,Facebook,Image,2024-07-02,2024-07-22,Completed,21547,10496,237,488,75.0,77.0,1764,186,1.1,2.97,5352.9,16161.44,19,8.02,22.59,248.43,3.02,201.92,18-24,All,Awareness,281.73
CMP-0054,TW-0054,Twitter,Carousel,2024-01-16,2024-01-24,Completed,426126,261273,7421,14924,2070.0,2744.0,26366,3518,1.74,4.63,28282.13,96917.87,205,2.76,3.81,66.37,3.43,242.68,35-44,F,Traffic,137.96
CMP-0055,IG-0055,Instagram,Story,2024-12-25,2025-01-06,Paused,687535,576740,47029,106818,14528.0,19450.0,267911,38267,6.84,20.48,32967.76,68003.97,3095,6.58,0.7,47.95,2.06,106.27,35-44,All,Awareness,10.65
CMP-0056,TW-0056,Twitter,Story,2024-02-13,2024-02-23,Completed,395748,318927,27299,49056,7962.0,4549.0,73435,15746,6.9,15.56,33887.65,164031.84,2815,10.31,1.24,85.63,4.84,384.05,18-24,F,Awareness,12.04
CMP-0057,TW-0057,Twitter,Video,2024-09-03,2024-09-22,Completed,372121,306139,17589,36874,6077.0,6237.0,257362,15606,4.73,13.22,27804.01,103250.07,2191,12.46,1.58,74.72,3.71,271.35,18-24,All,Awareness,12.69
CMP-0058,IG-0058,Instagram,Image,2024-12-25,2025-01-18,Active,373074,150368,39185,69073,8990.0,4330.0,38170,16274,10.5,22.08,10073.41,26182.43,4484,11.44,0.26,27.0,2.6,159.92,35-44,M,Awareness,2.25
CMP-0059,TW-0059,Twitter,Image,2024-03-20,2024-04-04,Completed,57179,42140,2075,3994,587.0,442.0,3174,1613,3.63,8.78,19631.16,37617.86,53,2.55,9.46,343.33,1.92,91.62,45+,All,Conversions,370.4
CMP-0060,IG-0060,Instagram,Image,2024-06-03,2024-06-21,Completed,272931,148671,5130,8441,3779.0,512.0,24355,2642,1.88,4.66,30228.14,68643.14,452,8.81,5.89,110.75,2.27,127.08,45+,All,Awareness,66.88
CMP-0061,FB-0061,Facebook,Carousel,2024-10-20,2024-11-19,Completed,442983,241318,22848,55807,4708.0,10693.0,35355,17017,5.16,16.07,19933.67,20518.04,1385,6.06,0.87,45.0,1.03,2.93,45+,All,Engagement,14.39
CMP-0062,IG-0062,Instagram,Carousel,2024-03-27,2024-04-05,Completed,124565,82873,3400,7206,866.0,1393.0,12943,1611,2.73,7.6,11890.59,16260.32,82,2.41,3.5,95.46,1.37,36.75,25-34,All,Awareness,145.01
CMP-0063,TW-0063,Twitter,Story,2024-10-15,2024-11-17,Completed,596912,430669,70704,95411,23298.0,8642.0,243440,44858,11.84,21.33,35936.67,124236.62,6956,9.84,0.51,60.2,3.46,245.71,35-44,All,Traffic,5.17
CMP-0064,FB-0064,Facebook,Image,2024-05-26,2024-06-04,Completed,99682,70525,6311,10013,1610.0,1669.0,13603,3943,6.33,13.33,29506.77,62189.47,778,12.33,4.68,296.01,2.11,110.76,45+,All,Traffic,37.93
CMP-0065,FB-0065,Facebook,Carousel,2024-02-13,2024-03-21,Completed,46043,24120,2548,3941,609.0,257.0,3152,1379,5.53,10.44,15557.34,54286.24,171,6.71,6.11,337.89,3.49,248.94,35-44,M,Sales,90.98
CMP-0066,IG-0066,Instagram,Carousel,2024-12-02,2024-12-16,Completed,616046,450826,68027,90298,16362.0,13178.0,22648,51320,11.04,19.45,25372.03,94319.67,1487,2.19,0.37,41.19,3.72,271.75,35-44,M,Traffic,17.06
CMP-0067,TW-0067,Twitter,Image,2024-08-04,2024-09-10,Completed,385211,213573,44062,60847,12366.0,4303.0,57780,21038,11.44,20.12,35571.35,108081.72,2265,5.14,0.81,92.34,3.04,203.84,18-24,All,Engagement,15.7
CMP-0068,FB-0068,Facebook,Story,2024-04-02,2024-04-17,Completed,50814,30764,4206,5063,702.0,433.0,31706,2626,8.28,12.2,14271.32,64836.31,356,8.46,3.39,280.85,4.54,354.31,45+,M,Awareness,40.09
CMP-0069,IG-0069,Instagram,Story,2024-07-14,2024-08-20,Completed,174930,141421,16993,17592,1759.0,2508.0,124529,11508,9.71,12.5,38142.21,181397.88,413,2.43,2.24,218.04,4.76,375.58,35-44,M,Conversions,92.35
CMP-0070,TW-0070,Twitter,Video,2024-02-16,2024-03-06,Completed,371566,321492,19586,28869,3602.0,2938.0,58381,10033,5.27,9.53,4909.2,19997.73,1069,5.46,0.25,13.21,4.07,307.35,35-44,M,Conversions,4.59
CMP-0071,IG-0071,Instagram,Video,2024-08-28,2024-09-30,Completed,88074,36066,2624,2766,658.0,380.0,34901,2067,2.98,4.32,5922.25,10021.62,113,4.31,2.26,67.24,1.69,69.22,45+,M,Conversions,52.41
CMP-0072,TW-0072,Twitter,Image,2024-10-21,2024-11-10,Completed,310420,190790,23499,28409,3787.0,4156.0,9663,20851,7.57,11.71,23909.65,72604.96,457,1.94,1.02,77.02,3.04,203.66,18-24,F,Engagement,52.32
CMP-0073,IG-0073,Instagram,Carousel,2024-01-09,2024-02-05,Completed,366551,190812,29531,28829,4796.0,4643.0,13688,17014,8.06,10.44,29104.4,135391.29,1694,5.74,0.99,79.4,4.65,365.19,45+,All,Traffic,17.18
CMP-0074,FB-0074,Facebook,Image,2024-08-22,2024-08-29,Completed,50934,40520,5443,7274,814.0,754.0,6417,3465,10.69,17.36,29287.07,56540.28,82,1.51,5.38,575.0,1.93,93.06,18-24,All,Conversions,357.16
CMP-0075,IG-0075,Instagram,Story,2024-08-13,2024-09-11,Completed,200892,130198,12498,29636,4559.0,4984.0,122334,5492,6.22,19.5,37094.19,119716.75,1179,9.43,2.97,184.65,3.23,222.74,35-44,M,Conversions,31.46
CMP-0076,IG-0076,Instagram,Story,2024-08-06,2024-08-21,Completed,373623,232978,33096,77766,13451.0,8522.0,204606,26335,8.86,26.7,30367.68,76862.15,596,1.8,0.92,81.28,2.53,153.11,25-34,M,Engagement,50.95
CMP-0077,IG-0077,Instagram,Image,2024-04-30,2024-05-28,Completed,599799,249631,13582,21254,2639.0,2359.0,17991,6367,2.26,4.38,14490.15,27436.36,833,6.13,1.07,24.16,1.89,89.34,18-24,M,Awareness,17.4
CMP-0078,IG-0078,Instagram,Image,2024-05-13,2024-06-15,Completed,646599,350966,71381,116710,8698.0,20593.0,50929,60626,11.04,22.58,4406.69,17228.6,5161,7.23,0.06,6.82,3.91,290.96,35-44,All,Traffic,0.85
CMP-0079,TW-0079,Twitter,Carousel,2024-03-21,2024-04-06,Completed,538469,275761,63695,136722,13309.0,16275.0,36032,43703,11.83,30.88,44244.03,50830.03,4804,7.54,0.69,82.17,1.15,14.89,18-24,M,Conversions,9.21
CMP-0080,TW-0080,Twitter,Story,2024-07-28,2024-08-06,Paused,678540,296577,39742,66747,5050.0,11523.0,329711,27576,5.86,12.28,6241.97,18815.29,4669,11.75,0.16,9.2,3.01,201.43,18-24,M,Traffic,1.34
CMP-0081,FB-0081,Facebook,Carousel,2024-04-25,2024-05-22,Completed,549103,465344,56163,68857,12188.0,8822.0,19917,30968,10.23,16.37,22864.5,30711.13,4756,8.47,0.41,41.64,1.34,34.32,25-34,M,Sales,4.81
CMP-0082,TW-0082,Twitter,Carousel,2024-10-15,2024-10-22,Completed,34751,15311,3964,8366,861.0,616.0,3279,2810,11.41,28.32,40060.36,129310.33,56,1.41,10.11,1152.78,3.23,222.79,35-44,F,Conversions,715.36
CMP-0083,IG-0083,Instagram,Carousel,2024-12-18,2024-12-26,Paused,512774,324186,22624,23624,5251.0,2151.0,76117,12956,4.41,6.05,34349.59,105621.58,1489,6.58,1.52,66.99,3.07,207.49,18-24,F,Traffic,23.07
CMP-0084,IG-0084,Instagram,Video,2024-01-26,2024-02-18,Completed,650270,396058,75242,175609,37351.0,33260.0,393276,37238,11.57,37.86,44820.64,127025.08,2430,3.23,0.6,68.93,2.83,183.41,35-44,F,Awareness,18.44
CMP-0085,TW-0085,Twitter,Story,2024-04-20,2024-05-17,Paused,523934,366103,53403,103777,11119.0,4286.0,91818,24937,10.19,22.75,16777.1,42215.72,2511,4.7,0.31,32.02,2.52,151.63,18-24,F,Sales,6.68
CMP-0086,IG-0086,Instagram,Carousel,2024-09-15,2024-10-18,Completed,298308,242421,22872,42056,3185.0,2332.0,20438,20433,7.67,15.95,16769.48,20481.18,2014,8.81,0.73,56.22,1.22,22.13,45+,All,Awareness,8.33
CMP-0087,TW-0087,Twitter,Carousel,2024-09-22,2024-10-26,Completed,151570,85482,11443,12315,3055.0,1949.0,8927,6501,7.55,11.43,24189.12,97813.52,1441,12.59,2.11,159.59,4.04,304.37,35-44,F,Conversions,16.79
CMP-0088,TW-0088,Twitter,Image,2024-10-25,2024-11-18,Completed,726466,519154,53500,66949,12125.0,13090.0,69160,27486,7.36,12.69,21879.97,68290.92,919,1.72,0.41,30.12,3.12,212.12,45+,M,Sales,23.81
CMP-0089,TW-0089,Twitter,Image,2024-08-13,2024-09-07,Completed,438020,326434,22861,48407,11332.0,8696.0,50660,9856,5.22,15.62,9726.71,20671.67,670,2.93,0.43,22.21,2.13,112.52,45+,All,Awareness,14.52
CMP-0090,IG-0090,Instagram,Carousel,2024-12-12,2025-01-02,Paused,206603,181535,7662,10017,2387.0,1974.0,24844,5765,3.71,6.96,22260.64,64533.98,817,10.66,2.91,107.75,2.9,189.9,35-44,F,Engagement,27.25
CMP-0091,IG-0091,Instagram,Story,2024-03-15,2024-04-07,Completed,87868,50364,4909,6067,884.0,438.0,41913,4253,5.59,8.41,6608.65,23648.3,527,10.74,1.35,75.21,3.58,257.84,25-34,M,Conversions,12.54
CMP-0092,FB-0092,Facebook,Video,2024-07-30,2024-08-25,Completed,110428,81782,2297,5603,1375.0,365.0,61511,1930,2.08,6.65,29448.97,126028.5,175,7.62,12.82,266.68,4.28,327.96,35-44,F,Awareness,168.28
CMP-0093,FB-0093,Facebook,Video,2024-01-20,2024-02-05,Completed,189327,164139,1737,3858,800.0,269.0,118197,1452,0.92,2.6,2167.24,4317.06,87,5.01,1.25,11.45,1.99,99.2,18-24,F,Engagement,24.91
CMP-0094,TW-0094,Twitter,Story,2024-03-09,2024-04-15,Completed,207177,166654,8914,18210,3271.0,2822.0,22760,5068,4.3,11.73,30510.85,44723.0,457,5.13,3.42,147.27,1.47,46.58,45+,F,Conversions,66.76
CMP-0095,TW-0095,Twitter,Image,2024-03-12,2024-04-16,Completed,265096,106943,13019,20302,2099.0,1882.0,25374,8936,4.91,9.16,16500.07,27745.08,606,4.65,1.27,62.24,1.68,68.15,18-24,F,Awareness,27.23
CMP-0096,TW-0096,Twitter,Carousel,2024-11-23,2024-12-16,Completed,236577,120551,4816,5106,1018.0,699.0,17520,3248,2.04,2.88,24419.54,93294.17,365,7.58,5.07,103.22,3.82,282.05,25-34,M,Engagement,66.9
CMP-0097,FB-0097,Facebook,Story,2024-07-04,2024-07-13,Completed,122659,52851,8338,13835,2276.0,885.0,40438,5504,6.8,13.86,9640.37,32928.98,219,2.63,1.16,78.59,3.42,241.57,18-24,All,Engagement,44.02
CMP-0098,FB-0098,Facebook,Story,2024-01-30,2024-03-10,Completed,328139,249923,16582,36280,7225.0,4808.0,43216,9489,5.05,14.72,44738.5,231428.41,313,1.89,2.7,136.34,5.17,417.29,18-24,F,Engagement,142.93
CMP-0099,FB-0099,Facebook,Story,2024-07-14,2024-08-16,Completed,400833,235618,33475,64440,10172.0,9315.0,137661,16377,8.35,20.94,24033.49,99481.6,2852,8.52,0.72,59.96,4.14,313.93,25-34,M,Traffic,8.43
CMP-0100,IG-0100,Instagram,Story,2024-04-27,2024-05-17,Completed,167656,90169,18911,38437,2789.0,6515.0,65967,14807,11.28,28.48,1196.24,1830.74,2528,13.37,0.06,7.14,1.53,53.04,18-24,All,Engagement,0.47
CMP-0101,TW-0101,Twitter,Image,2024-01-23,2024-02-22,Completed,570979,290419,59569,53371,8047.0,4604.0,71973,45615,10.43,11.56,27107.34,104706.42,3255,5.46,0.46,47.48,3.86,286.27,35-44,M,Awareness,8.33
CMP-0102,TW-0102,Twitter,Video,2024-05-20,2024-05-28,Completed,625407,525252,68689,128049,17342.0,15276.0,488194,59813,10.98,25.69,35468.3,74259.0,7142,10.4,0.52,56.71,2.09,109.37,45+,F,Traffic,4.97
CMP-0103,TW-0103,Twitter,Story,2024-04-25,2024-05-19,Completed,156363,125541,17230,30256,7369.0,3908.0,30313,8984,11.02,26.56,29278.41,149645.78,662,3.84,1.7,187.25,5.11,411.11,35-44,M,Awareness,44.23
CMP-0104,FB-0104,Facebook,Carousel,2024-11-05,2024-11-12,Completed,202303,162312,14681,28502,2662.0,2092.0,27900,8097,7.26,16.44,9925.45,14393.08,2015,13.73,0.68,49.06,1.45,45.01,18-24,All,Traffic,4.93
CMP-0105,FB-0105,Facebook,Video,2024-05-02,2024-06-11,Completed,301809,178167,20030,28257,2891.0,3448.0,135238,8999,6.64,11.46,21392.32,100515.15,2952,14.74,1.07,70.88,4.7,369.87,25-34,F,Traffic,7.25
CMP-0106,FB-0106,Facebook,Video,2024-10-10,2024-11-10,Completed,210721,119043,10258,22739,3407.0,3291.0,122090,5423,4.87,13.97,43509.62,161354.22,1282,12.5,4.24,206.48,3.71,270.85,45+,F,Awareness,33.94
CMP-0107,FB-0107,Facebook,Video,2024-09-07,2024-09-23,Completed,573471,513349,65996,111579,24303.0,5790.0,385714,27999,11.51,24.7,6618.37,24180.27,718,1.09,0.1,11.54,3.65,265.35,18-24,All,Conversions,9.22
CMP-0108,IG-0108,Instagram,Carousel,2024-11-22,2024-12-27,Completed,21495,8669,1471,1206,187.0,101.0,3161,601,6.84,6.95,30494.47,138165.52,182,12.37,20.73,1418.68,4.53,353.08,25-34,M,Awareness,167.55
CMP-0109,FB-0109,Facebook,Video,2024-05-09,2024-06-05,Completed,421176,185110,48569,76753,7571.0,11632.0,130557,39536,11.53,22.78,44629.52,167337.15,1033,2.13,0.92,105.96,3.75,274.95,18-24,M,Engagement,43.2
CMP-0110,IG-0110,Instagram,Image,2024-12-25,2025-01-09,Paused,681234,539665,47736,107813,7446.0,13423.0,17393,24140,7.01,18.89,39996.17,115089.04,6279,13.15,0.84,58.71,2.88,187.75,18-24,M,Engagement,6.37
CMP-0111,TW-0111,Twitter,Image,2024-06-10,2024-06-16,Completed,620551,292959,61670,135398,31923.0,11899.0,57906,42142,9.94,28.88,30628.06,98095.92,7950,12.89,0.5,49.36,3.2,220.28,45+,All,Awareness,3.85
